split,basename,label,img_path,mask_path,ann_path
train,10117.png,0,data/train/img\10117.png,data/train/img\10117_GT.png,data/train/ann\10117.json
train,11141.png,0,data/train/img\11141.png,data/train/img\11141_GT.png,data/train/ann\11141.json
train,12079.png,0,data/train/img\12079.png,data/train/img\12079_GT.png,data/train/ann\12079.json
train,12199.png,0,data/train/img\12199.png,data/train/img\12199_GT.png,data/train/ann\12199.json
train,11442.png,0,data/train/img\11442.png,data/train/img\11442_GT.png,data/train/ann\11442.json
train,11564.png,0,data/train/img\11564.png,data/train/img\11564_GT.png,data/train/ann\11564.json
train,10182.png,0,data/train/img\10182.png,data/train/img\10182_GT.png,data/train/ann\10182.json
train,10273.png,1,data/train/img\10273.png,data/train/img\10273_GT.png,data/train/ann\10273.json
train,10778.png,0,data/train/img\10778.png,data/train/img\10778_GT.png,data/train/ann\10778.json
train,12279.png,0,data/train/img\12279.png,data/train/img\12279_GT.png,data/train/ann\12279.json
train,10916.png,0,data/train/img\10916.png,data/train/img\10916_GT.png,data/train/ann\10916.json
train,10122.png,0,data/train/img\10122.png,data/train/img\10122_GT.png,data/train/ann\10122.json
train,12175.png,0,data/train/img\12175.png,data/train/img\12175_GT.png,data/train/ann\12175.json
train,11245.png,0,data/train/img\11245.png,data/train/img\11245_GT.png,data/train/ann\11245.json
train,10584.png,0,data/train/img\10584.png,data/train/img\10584_GT.png,data/train/ann\10584.json
train,11164.png,0,data/train/img\11164.png,data/train/img\11164_GT.png,data/train/ann\11164.json
train,11617.png,0,data/train/img\11617.png,data/train/img\11617_GT.png,data/train/ann\11617.json
train,11764.png,0,data/train/img\11764.png,data/train/img\11764_GT.png,data/train/ann\11764.json
train,10765.png,0,data/train/img\10765.png,data/train/img\10765_GT.png,data/train/ann\10765.json
train,11549.png,1,data/train/img\11549.png,data/train/img\11549_GT.png,data/train/ann\11549.json
train,11788.png,0,data/train/img\11788.png,data/train/img\11788_GT.png,data/train/ann\11788.json
train,11755.png,1,data/train/img\11755.png,data/train/img\11755_GT.png,data/train/ann\11755.json
train,11337.png,0,data/train/img\11337.png,data/train/img\11337_GT.png,data/train/ann\11337.json
train,11522.png,0,data/train/img\11522.png,data/train/img\11522_GT.png,data/train/ann\11522.json
train,10415.png,0,data/train/img\10415.png,data/train/img\10415_GT.png,data/train/ann\10415.json
train,12195.png,0,data/train/img\12195.png,data/train/img\12195_GT.png,data/train/ann\12195.json
train,10121.png,0,data/train/img\10121.png,data/train/img\10121_GT.png,data/train/ann\10121.json
train,12120.png,0,data/train/img\12120.png,data/train/img\12120_GT.png,data/train/ann\12120.json
train,11899.png,1,data/train/img\11899.png,data/train/img\11899_GT.png,data/train/ann\11899.json
train,10879.png,0,data/train/img\10879.png,data/train/img\10879_GT.png,data/train/ann\10879.json
train,11551.png,0,data/train/img\11551.png,data/train/img\11551_GT.png,data/train/ann\11551.json
train,11100.png,0,data/train/img\11100.png,data/train/img\11100_GT.png,data/train/ann\11100.json
train,11034.png,0,data/train/img\11034.png,data/train/img\11034_GT.png,data/train/ann\11034.json
train,11848.png,0,data/train/img\11848.png,data/train/img\11848_GT.png,data/train/ann\11848.json
train,10135.png,1,data/train/img\10135.png,data/train/img\10135_GT.png,data/train/ann\10135.json
train,10038.png,0,data/train/img\10038.png,data/train/img\10038_GT.png,data/train/ann\10038.json
train,10244.png,1,data/train/img\10244.png,data/train/img\10244_GT.png,data/train/ann\10244.json
train,12190.png,0,data/train/img\12190.png,data/train/img\12190_GT.png,data/train/ann\12190.json
train,10862.png,0,data/train/img\10862.png,data/train/img\10862_GT.png,data/train/ann\10862.json
train,11265.png,0,data/train/img\11265.png,data/train/img\11265_GT.png,data/train/ann\11265.json
train,11399.png,0,data/train/img\11399.png,data/train/img\11399_GT.png,data/train/ann\11399.json
train,10590.png,0,data/train/img\10590.png,data/train/img\10590_GT.png,data/train/ann\10590.json
train,12173.png,0,data/train/img\12173.png,data/train/img\12173_GT.png,data/train/ann\12173.json
train,11402.png,0,data/train/img\11402.png,data/train/img\11402_GT.png,data/train/ann\11402.json
train,12234.png,0,data/train/img\12234.png,data/train/img\12234_GT.png,data/train/ann\12234.json
train,10651.png,0,data/train/img\10651.png,data/train/img\10651_GT.png,data/train/ann\10651.json
train,11090.png,0,data/train/img\11090.png,data/train/img\11090_GT.png,data/train/ann\11090.json
train,12212.png,0,data/train/img\12212.png,data/train/img\12212_GT.png,data/train/ann\12212.json
train,11071.png,0,data/train/img\11071.png,data/train/img\11071_GT.png,data/train/ann\11071.json
train,12283.png,0,data/train/img\12283.png,data/train/img\12283_GT.png,data/train/ann\12283.json
train,10465.png,0,data/train/img\10465.png,data/train/img\10465_GT.png,data/train/ann\10465.json
train,11717.png,0,data/train/img\11717.png,data/train/img\11717_GT.png,data/train/ann\11717.json
train,11650.png,0,data/train/img\11650.png,data/train/img\11650_GT.png,data/train/ann\11650.json
train,10857.png,0,data/train/img\10857.png,data/train/img\10857_GT.png,data/train/ann\10857.json
train,12322.png,0,data/train/img\12322.png,data/train/img\12322_GT.png,data/train/ann\12322.json
train,10476.png,0,data/train/img\10476.png,data/train/img\10476_GT.png,data/train/ann\10476.json
train,12155.png,0,data/train/img\12155.png,data/train/img\12155_GT.png,data/train/ann\12155.json
train,10410.png,0,data/train/img\10410.png,data/train/img\10410_GT.png,data/train/ann\10410.json
train,11775.png,1,data/train/img\11775.png,data/train/img\11775_GT.png,data/train/ann\11775.json
train,10952.png,1,data/train/img\10952.png,data/train/img\10952_GT.png,data/train/ann\10952.json
